EV, LA, Hits, Outs
15, -86, 5.0, 57.0
16, -86, 4.0, 51.0
17, -86, 4.0, 57.0
18, -86, 3.0, 55.0
19, -86, 4.0, 49.0
20, -86, 3.0, 57.0
21, -86, 6.0, 60.0
22, -86, 4.0, 49.0
23, -86, 5.0, 54.0
24, -86, 4.0, 52.0
25, -86, 4.0, 49.0
26, -86, 5.0, 64.0
27, -86, 2.0, 52.0
28, -86, 2.0, 58.0
29, -86, 0.0, 52.0
30, -86, 0.0, 63.0
31, -86, 0.0, 54.0
32, -86, 1.0, 52.0
33, -86, 1.0, 50.0
34, -86, 2.0, 51.0
35, -86, 1.0, 58.0
36, -86, 1.0, 49.0
37, -86, 3.0, 55.0
38, -86, 2.0, 48.0
39, -86, 4.0, 64.0
40, -86, 6.0, 60.0
41, -86, 6.0, 73.0
42, -86, 2.0, 56.0
43, -86, 2.0, 51.0
44, -86, 2.0, 50.0
45, -86, 3.0, 52.0
46, -86, 4.0, 54.0
47, -86, 7.0, 59.0
48, -86, 4.0, 66.0
49, -86, 2.0, 67.0
50, -86, 2.0, 66.0
51, -86, 5.0, 59.0
52, -86, 6.0, 45.0
53, -86, 5.0, 68.0
54, -86, 3.0, 61.0
55, -86, 3.0, 59.0
56, -86, 3.0, 63.0
57, -86, 3.0, 54.0
58, -86, 10.0, 50.0
59, -86, 9.0, 41.0
60, -86, 7.0, 44.0
61, -86, 8.0, 43.0
62, -86, 9.0, 58.0
63, -86, 10.0, 57.0
64, -86, 9.0, 57.0
65, -86, 9.0, 45.0
66, -86, 9.0, 50.0
67, -86, 10.0, 59.0
68, -86, 12.0, 58.0
69, -86, 10.0, 50.0
70, -86, 8.0, 47.0
71, -86, 7.0, 58.0
72, -86, 6.0, 60.0
73, -86, 5.0, 51.0
74, -86, 7.0, 56.0
75, -86, 6.0, 49.0
76, -86, 5.0, 49.0
77, -86, 6.0, 62.0
78, -86, 5.0, 47.0
79, -86, 11.0, 53.0
80, -86, 8.0, 48.0
81, -86, 12.0, 55.0
82, -86, 9.0, 49.0
83, -86, 9.0, 48.0
84, -86, 9.0, 43.0
85, -86, 8.0, 44.0
86, -86, 14.0, 48.0
87, -86, 8.0, 45.0
88, -86, 13.0, 43.0
89, -86, 15.0, 56.0
90, -86, 9.0, 43.0
91, -86, 10.0, 40.0
92, -86, 16.0, 40.0
93, -86, 20.0, 50.0
94, -86, 18.0, 43.0
95, -86, 16.0, 35.0
96, -86, 19.0, 46.0
97, -86, 18.0, 42.0
98, -86, 19.0, 47.0
99, -86, 18.0, 38.0
100, -86, 24.0, 43.0
101, -86, 17.0, 37.0
