EV, LA, Hits, Outs
25, -83, 5.0, 56.0
26, -83, 3.0, 52.0
27, -83, 4.0, 59.0
28, -83, 4.0, 49.0
29, -83, 5.0, 48.0
30, -83, 6.0, 44.0
31, -83, 4.0, 50.0
32, -83, 5.0, 57.0
33, -83, 3.0, 53.0
34, -83, 4.0, 63.0
35, -83, 2.0, 48.0
36, -83, 2.0, 61.0
37, -83, 3.0, 52.0
38, -83, 2.0, 58.0
39, -83, 2.0, 65.0
40, -83, 2.0, 62.0
41, -83, 3.0, 54.0
42, -83, 3.0, 64.0
43, -83, 1.0, 63.0
44, -83, 0.0, 59.0
45, -83, 3.0, 60.0
46, -83, 4.0, 64.0
47, -83, 5.0, 51.0
48, -83, 7.0, 45.0
49, -83, 8.0, 54.0
50, -83, 10.0, 49.0
51, -83, 11.0, 56.0
52, -83, 11.0, 63.0
53, -83, 7.0, 53.0
54, -83, 7.0, 56.0
55, -83, 5.0, 52.0
56, -83, 5.0, 61.0
57, -83, 5.0, 59.0
58, -83, 2.0, 52.0
59, -83, 6.0, 48.0
60, -83, 5.0, 45.0
61, -83, 7.0, 72.0
62, -83, 6.0, 59.0
63, -83, 6.0, 45.0
64, -83, 6.0, 44.0
65, -83, 9.0, 42.0
66, -83, 9.0, 47.0
67, -83, 11.0, 67.0
68, -83, 13.0, 61.0
69, -83, 9.0, 43.0
70, -83, 7.0, 55.0
71, -83, 8.0, 51.0
72, -83, 6.0, 45.0
73, -83, 5.0, 52.0
74, -83, 5.0, 49.0
75, -83, 7.0, 56.0
76, -83, 6.0, 50.0
77, -83, 8.0, 50.0
78, -83, 9.0, 46.0
79, -83, 8.0, 42.0
80, -83, 10.0, 64.0
81, -83, 10.0, 47.0
82, -83, 8.0, 56.0
83, -83, 10.0, 41.0
84, -83, 9.0, 49.0
85, -83, 12.0, 55.0
86, -83, 12.0, 47.0
87, -83, 12.0, 51.0
88, -83, 8.0, 42.0
89, -83, 15.0, 47.0
90, -83, 15.0, 40.0
91, -83, 12.0, 38.0
92, -83, 19.0, 53.0
93, -83, 15.0, 42.0
94, -83, 14.0, 40.0
95, -83, 14.0, 41.0
96, -83, 18.0, 49.0
97, -83, 22.0, 36.0
98, -83, 18.0, 48.0
99, -83, 13.0, 37.0
100, -83, 17.0, 44.0
101, -83, 15.0, 41.0
102, -83, 15.0, 45.0
103, -83, 13.0, 37.0
104, -83, 18.0, 43.0
105, -83, 15.0, 38.0
106, -83, 15.0, 37.0
107, -83, 18.0, 37.0
108, -83, 18.0, 42.0
109, -83, 17.0, 35.0
110, -83, 21.0, 42.0
111, -83, 14.0, 37.0
112, -83, 16.0, 40.0
113, -83, 21.0, 46.0
114, -83, 17.0, 44.0
115, -83, 15.0, 35.0
116, -83, 15.0, 46.0
117, -83, 19.0, 47.0
118, -83, 18.0, 37.0
119, -83, 18.0, 45.0
120, -83, 16.0, 41.0
0, -82, 4.0, 48.0
1, -82, 4.0, 47.0
2, -82, 4.0, 57.0
3, -82, 3.0, 52.0
4, -82, 3.0, 48.0
5, -82, 3.0, 54.0
6, -82, 4.0, 51.0
7, -82, 3.0, 48.0
8, -82, 3.0, 55.0
9, -82, 3.0, 51.0
10, -82, 3.0, 53.0
11, -82, 3.0, 47.0
