Butler, Billy,456714,2016,274,71,48,18,0,5,15.3,7.7,.284,.312,21,45.4,4.96,23.6
Cain, Lorenzo,456715,2016,434,114,85,19,1,9,19.4,7.1,.287,.276,23.2,47.7,4.23,29.0
Solano, Donovan,456781,2016,23,5,2,2,0,1,13,4.3,.227,.181,16.2,42,,26.8
Saltalamacchia, Jarrod,457454,2016,292,42,24,5,1,12,35.6,14,.171,.170,35.7,43.8,4.76,25.6
De Aza, Alejandro,457477,2016,267,48,33,9,0,6,25.1,9.7,.205,.245,24.2,43.4,4.29,27.6
Pacheco, Jordan,457574,2016,51,8,4,4,0,0,27.5,0,.157,.184,25.2,51.5,4.67,26.2
McCutchen, Andrew,457705,2016,675,153,100,26,3,24,21.2,10.2,.256,.258,25.5,46.2,4.31,29.1
Jackson, Austin,457706,2016,203,46,32,12,2,0,19.2,8.4,.254,.274,19.7,43.5,4.43,28.1
Upton, Justin,457708,2016,626,140,79,28,2,31,28.6,8,.246,.253,30.8,44,4.5,27.4
Maybin, Cameron,457727,2016,391,110,87,14,5,4,17.6,9.2,.315,.264,20.2,42.4,4.21,28.8
Turner, Justin,457759,2016,622,153,89,34,3,27,17.2,7.7,.275,.276,18.5,44.4,4.58,26.2
Posey III, Buster,457763,2016,614,155,106,33,2,14,11.1,10.4,.288,.288,14.1,46.7,4.61,25.2
Jennings, Desmond,457775,2016,225,40,25,7,1,7,25.8,9.3,.200,.207,30.7,43,4.33,27.6
Espinosa, Danny,457787,2016,601,108,69,15,0,24,29,9,.209,.197,32.3,48.9,4.28,27.7
Weeks, Jemile,457789,2016,57,7,5,1,1,0,24.6,5.3,.140,.198,18.8,45.9,,27.9
Bruce, Jay,457803,2016,589,135,69,27,6,33,21.4,7.5,.250,.249,25.9,51.4,4.35,26.8
Happ, J.A.,457918,2016,10,2,2,0,0,0,30,0,.286,.309,15.4,44.8,,
Janish, Paul,457926,2016,35,6,5,1,0,0,8.6,8.6,.194,.317,22,46.5,,26.2
Votto, Joey,458015,2016,677,181,116,34,2,29,17.7,16,.326,.301,18.5,41.5,4.69,25.0
Coghlan, Chris,458085,2016,300,49,29,12,2,6,24.3,11.7,.188,.207,25.4,43.3,4.4,26.3
Brignac, Reid,458582,2016,29,6,4,2,0,0,27.6,0,.207,.233,24.6,52.6,,27.0
Rasmus, Colby,458675,2016,417,76,51,10,0,15,29,10.3,.206,.223,33.3,47.3,4.33,28.0
Gardner, Brett,458731,2016,634,143,108,22,6,7,16.7,11,.261,.252,15,37.3,4.04,28.7
Saunders, Michael,459431,2016,558,124,65,32,3,24,28.1,10.6,.253,.234,29.1,44.7,4.3,26.9
Joyce, Matt,459964,2016,293,56,32,10,1,13,22.9,20.1,.242,.230,31.9,37.6,4.62,26.0
Hundley, Nick,460026,2016,317,75,44,20,1,10,20.5,7.9,.260,.248,25.2,50.6,4.62,25.7
Pennington, Cliff,460060,2016,188,36,27,4,2,3,29.3,6.9,.209,.199,25.2,50.1,4.32,26.7
