last_name, first_name,player_id,year,pa,walk,k_percent,batting_avg,xba,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
Kim, Ha-Seong,673490,2022,582,51,17.2,.251,.250,86.7,34,4.2,32.4,97.647567656,92.869312734,19.1,43.3
Suzuki, Seiya,673548,2022,446,42,24.7,.262,.247,89.6,36.9,11,41.3,100.244268881,94.350662098,22.8,39
Jung, Josh,673962,2022,102,4,38.2,.204,.225,85.5,40.7,10.2,32.2,98.305209333,93.279324746,30.8,47
Smith, Kevin,675656,2022,151,7,27.8,.180,.186,87,32.4,7.8,33.3,98.087369388,93.05239898,30.1,53
Velázquez, Nelson,676369,2022,206,19,31.6,.205,.209,89.2,35,13.3,43.6,100.265489661,94.367476923,36.2,47.4
Clement, Ernie,676391,2022,179,11,14.5,.184,.240,85,27.1,3.6,25.7,94.798252206,91.426475368,16,49.6
Burleson, Alec,676475,2022,53,5,17,.188,.251,91.7,35.9,10.3,48.7,100.518393158,95.136274211,24.7,51.1
Barrero, Jose,676480,2022,174,9,43.7,.152,.140,87.5,33.7,2.2,35.2,98.193362727,93.242532414,38.5,57.4
Contreras, Mark,676628,2022,61,1,34.4,.121,.204,94.9,28.9,31.6,57.9,104.284496316,97.133628947,31.9,62.7
Madris, Bligh,676632,2022,123,10,25.2,.177,.211,88.9,30.5,4.9,41.5,99.381132683,94.178952099,26.8,46.3
Meyers, Jake,676694,2022,160,7,33.8,.227,.205,87.3,30.9,5.2,37.1,98.54444,93.291333191,31.2,47.4
Trejo, Alan,676701,2022,125,5,24.8,.271,.242,86.2,37.9,4.6,31.4,96.419990698,92.215872674,25,52.6
McCormick, Chas,676801,2022,407,46,26,.245,.232,88.1,33.5,10.2,39,98.903106371,93.652024395,32.2,48.4
MacKinnon, David,676950,2022,57,6,29.8,.140,.208,85,26.5,2.9,20.6,95.337789412,91.668894706,24.1,44.4
Franco, Wander,677551,2022,344,26,9.6,.277,.285,87.3,35.1,4.6,35.8,98.428767413,93.287600772,13.3,51.3
Rodríguez, Julio,677594,2022,560,40,25.9,.284,.254,92,32.7,13.1,50.7,103.718795769,96.379006446,30.4,50.2
Duran, Ezequiel,677649,2022,220,12,24.5,.236,.216,85.9,24.7,4.5,31.8,97.9242875,93.124773224,28.9,55.7
Thomas, Alek,677950,2022,411,22,18,.231,.238,87.4,27.9,3.8,34.6,98.660118182,93.330771656,25,49.2
Witt Jr., Bobby,677951,2022,632,30,21.4,.254,.252,89.7,32.5,8.7,38.6,100.836506783,94.527115512,25.2,51.8
