EV, LA, Hits, Outs
37, 79, 0, 1
111, 28, 4, 0
83, -34, 0, 5
69, 31, 7, 0
60, -18, 0, 5
44, -26, 0, 1
104, 25, 61, 8
30, 39, 0, 1
62, 28, 1, 6
81, 41, 1, 14
20, 31, 0, 1
78, -28, 0, 15
97, -15, 8, 26
83, 87, 0, 1
69, -77, 0, 1
96, 26, 19, 59
99, 31, 20, 36
71, -31, 1, 10
90, -18, 3, 28
57, 34, 0, 1
76, 47, 1, 18
92, 28, 5, 53
111, 41, 1, 1
64, -71, 0, 1
105, -33, 0, 1
69, 44, 3, 1
108, -28, 0, 1
66, -25, 1, 8
85, -12, 3, 23
71, 90, 0, 1
84, 29, 1, 31
76, -61, 0, 3
103, 42, 1, 9
87, 34, 0, 38
59, -28, 1, 4
78, -15, 1, 14
64, 50, 0, 2
96, 39, 1, 46
99, 44, 0, 21
52, -68, 0, 1
112, -17, 0, 1
76, 60, 0, 10
115, -12, 1, 0
73, -9, 2, 17
45, -71, 2, 0
105, -20, 3, 6
64, -58, 1, 3
91, 45, 0, 27
50, 44, 0, 1
108, -15, 4, 3
94, 50, 0, 20
66, -12, 0, 11
85, 1, 8, 25
52, 53, 0, 3
84, 42, 0, 34
103, 55, 0, 2
87, 47, 1, 23
59, -15, 0, 4
100, -14, 10, 31
45, 50, 0, 1
64, 63, 0, 3
77, 2, 4, 18
75, -71, 1, 0
80, 7, 10, 15
52, -55, 0, 1
38, 47, 1, 0
112, -4, 4, 1
79, 48, 0, 10
98, 61, 0, 3
82, 53, 1, 13
115, 1, 1, 2
54, -9, 0, 2
73, 4, 4, 11
91, 58, 0, 8
75, 50, 1, 10
94, 63, 0, 8
88, -11, 8, 38
47, -49, 1, 0
107, 2, 15, 14
79, -60, 0, 1
65, 5, 0, 4
63, -68, 0, 1
82, -55, 0, 2
68, 10, 2, 6
86, 64, 0, 9
58, 2, 2, 1
77, 15, 13, 2
89, 69, 0, 1
75, -58, 0, 2
61, 7, 2, 2
80, 20, 31, 1
74, -54, 0, 4
93, -41, 0, 1
79, 61, 0, 5
63, 53, 0, 1
51, -38, 1, 1
82, 66, 0, 9
54, 4, 0, 2
95, 5, 29, 20
114, 18, 5, 0
67, -57, 0, 3
86, -44, 0, 3
31, 20, 0, 1
72, 21, 15, 0
70, -52, 3, 4
75, 63, 0, 5
88, 2, 15, 21
47, -36, 0, 1
107, 15, 36, 15
74, 67, 0, 3
46, 5, 1, 1
65, 18, 5, 2
63, -55, 0, 2
68, 23, 6, 1
81, -38, 1, 7
26, 26, 0, 1
67, 64, 0, 4
86, 77, 0, 6
39, -35, 0, 1
70, 69, 0, 2
89, 82, 0, 4
102, 21, 49, 25
74, -41, 0, 10
60, 24, 3, 1
93, -28, 1, 9
63, 66, 0, 1
51, -25, 1, 1
95, 18, 24, 39
81, 83, 0, 2
67, -44, 1, 6
53, 21, 0, 2
72, 34, 6, 11
70, -39, 1, 7
56, 26, 1, 3
69, -35, 0, 6
74, 80, 0, 1
113, 8, 5, 2
49, 23, 0, 1
90, 24, 6, 41
62, -38, 0, 11
81, -25, 0, 11
67, 77, 0, 1
39, -22, 1, 0
97, -81, 1, 0
83, 21, 11, 13
102, 34, 28, 11
55, -78, 1, 1
60, 37, 1, 4
99, -35, 0, 1
35, -20, 1, 0
117, 19, 1, 0
76, -19, 1, 17
34, 21, 0, 1
53, 34, 1, 1
92, -38, 1, 3
97, 40, 3, 35
50, -35, 0, 1
69, -22, 1, 24
55, 43, 0, 2
113, 21, 2, 0
71, 24, 14, 1
90, 37, 1, 40
62, -25, 0, 7
103, -24, 2, 5
48, 40, 0, 3
106, -19, 6, 4
64, -16, 0, 11
96, -27, 0, 10
55, -65, 0, 1
99, -22, 2, 10
85, 43, 0, 28
38, -32, 0, 2
57, -19, 0, 4
76, -6, 2, 23
73, -75, 0, 1
92, -25, 7, 15
59, 27, 0, 4
78, 40, 0, 17
97, 53, 0, 10
50, -22, 0, 1
91, -21, 3, 22
110, -8, 4, 3
55, 56, 0, 2
94, -16, 6, 37
71, 37, 7, 7
112, 38, 1, 0
84, -24, 2, 15
103, -11, 8, 17
87, -19, 3, 26
106, -6, 13, 20
45, -16, 1, 0
105, 35, 13, 4
64, -3, 0, 14
77, -64, 0, 1
108, 40, 2, 4
80, -59, 0, 2
66, 43, 0, 8
85, 56, 0, 8
57, -6, 0, 2
98, -5, 13, 32
54, -75, 0, 1
73, -62, 0, 1
59, 40, 1, 1
78, 53, 0, 15
91, -8, 14, 27
110, 5, 14, 9
77, 57, 0, 7
75, -16, 0, 14
94, -3, 13, 28
80, 62, 0, 12
66, -65, 1, 0
65, -61, 2, 1
84, -11, 2, 25
87, -6, 3, 28
54, 46, 0, 3
73, 59, 2, 3
86, -1, 10, 15
86, -2, 5, 21
58, -64, 0, 2
89, 3, 11, 28
77, -51, 1, 0
61, -59, 0, 1
80, -46, 0, 2
66, 56, 0, 2
79, -5, 6, 11
98, 8, 51, 34
63, -13, 0, 6
101, 13, 52, 7
54, -62, 0, 1
40, 3, 0, 1
100, 54, 0, 4
72, -45, 2, 2
58, 57, 0, 2
75, -3, 2, 11
116, -2, 1, 0
116, -1, 2, 1
61, 62, 0, 2
80, 75, 0, 1
52, 13, 0, 1
93, 14, 33, 3
65, -48, 0, 3
51, 17, 1, 2
49, -56, 0, 1
109, -5, 8, 11
68, -43, 1, 3
54, 59, 0, 1
67, -2, 0, 9
67, -1, 0, 6
86, 11, 27, 11
72, 76, 0, 2
70, 3, 1, 11
58, -51, 0, 1
89, 16, 34, 10
61, -46, 0, 1
88, 57, 0, 20
47, 19, 0, 1
79, 8, 6, 16
82, 13, 20, 9
49, 65, 0, 1
68, 78, 0, 1
81, 17, 25, 0
53, -45, 0, 3
72, -32, 0, 13
37, -53, 1, 0
56, -40, 0, 4
116, 11, 2, 0
88, -51, 0, 2
74, 14, 9, 7
93, 27, 7, 48
46, -48, 1, 2
32, 17, 0, 2
51, 30, 0, 1
90, -42, 0, 1
109, 8, 19, 6
67, 11, 1, 5
70, 16, 11, 7
111, 17, 9, 0
83, -45, 0, 5
102, -32, 0, 2
88, 70, 0, 1
